x,y
-62.052000,-45.504999
-62.052000,-45.304999
-62.052000,-45.104999
-62.052000,-44.904999
-62.052000,-44.704999
-62.052000,-44.504999
-62.052000,-44.304999
-62.052000,-44.104999
-62.052000,-43.904999
-62.052000,-43.704999
-62.052000,-43.504999
-62.052000,-43.304999
-62.052000,-43.104999
-62.052000,-42.904999
-62.052000,-42.704999
-62.052000,-42.504999
-62.052000,-42.304999
-62.052000,-42.104999
-62.052000,-41.904999
-62.052000,-41.704999
-62.052000,-41.504999
-62.052000,-41.304999
-62.052000,-41.104999
-62.052000,-40.904999
-62.052000,-40.704999
-62.052000,-40.504999
-62.052000,-40.304999
-62.052000,-40.104999
-62.052000,-39.904999
-62.052000,-39.704999
-62.052000,-39.504999
-62.052000,-39.304999
-62.052000,-39.104999
-62.052000,-38.904999
-62.052000,-38.704999
-62.052000,-38.504999
-62.052000,-38.304999
-62.052000,-38.104999
-62.052000,-37.904999
-62.052000,-37.704999
-62.052000,-37.504999
-62.052000,-37.304999
-62.052000,-37.104999
-62.052000,-36.904999
-62.052000,-36.704999
-62.052000,-36.504999
-62.052000,-36.304999
-62.052000,-36.104999
-62.052000,-35.904999
-62.052000,-35.704999
-62.052000,-35.504999
-62.052000,-35.304999
-62.052000,-35.104999
-62.052000,-34.904999
-62.052000,-34.704999
-62.052000,-34.504999
-62.052000,-34.304999
-62.052000,-34.104999
-62.052000,-33.904999
-62.052000,-33.704999
-62.052000,-33.504999
-62.052000,-33.304999
-62.052000,-33.104999
-62.052000,-32.904999
-62.052000,-32.704999
-62.052000,-32.504999
-62.052000,-32.304999
-62.052000,-32.104999
-62.052000,-31.904999
-62.052000,-31.704999
-62.052000,-31.504999
-62.052000,-31.304999
-62.052000,-31.104999
-62.052000,-30.904999
-62.052000,-30.704999
-62.052000,-30.504999
-62.052000,-30.304999
-62.052000,-30.104999
-62.052000,-29.904999
-62.052000,-29.704999
-62.052000,-29.504999
-62.052000,-29.304999
-62.052000,-29.104999
-62.052000,-28.904999
-62.052000,-28.704999
-62.052000,-28.504999
-62.052000,-28.304999
-62.052000,-28.104999
-62.052000,-27.904999
-62.052000,-27.704999
-62.052000,-27.504999
-62.052000,-27.304999
-62.052000,-27.104999
-62.052000,-26.904999
-62.052000,-26.704999
-62.052000,-26.504999
-62.052000,-26.304999
-62.052000,-26.104999
-62.052000,-25.904999
-62.052000,-25.704999
-62.052000,-25.504999
-62.052000,-25.304999
-62.052000,-25.104999
-62.052000,-24.904999
-62.052000,-24.704999
-62.052000,-24.504999
-62.052000,-24.304999
-62.052000,-24.104999
-62.052000,-23.904999
-62.052000,-23.704999
-62.052000,-23.504999
-62.052000,-23.304999
-62.052000,-23.104999
-62.052000,-22.904999
-62.052000,-22.704999
-62.052000,-22.504999
-62.052000,-22.304999
-62.052000,-22.104999
-62.052000,-21.904999
-62.052000,-21.704999
-62.052000,-21.504999
-62.052000,-21.304999
-62.252000,-21.104999
-62.452000,-20.904999
-62.652000,-20.704999
-62.652000,-20.504999
-62.652000,-20.304999
-62.652000,-20.104999
-62.652000,-19.904999
-62.652000,-19.704999
-62.652000,-19.504999
-62.652000,-19.304999
-62.652000,-19.104999
-62.652000,-18.904999
-62.652000,-18.704999
-62.652000,-18.504999
-62.652000,-18.304999
-62.852000,-18.104999
-63.052000,-17.904999
-63.252000,-17.704999
-63.452000,-17.504999
-63.652000,-17.304999
-63.852000,-17.104999
-64.052000,-16.904999
-64.252000,-16.704999
-64.452000,-16.504999
-64.652000,-16.304999
-64.852000,-16.104999
-65.052000,-15.904999
-65.252000,-15.704999
-65.452000,-15.504999
-65.652000,-15.304999
-65.852000,-15.104999
-66.052000,-14.904999
-66.252000,-14.704999
-66.452000,-14.504999
-66.652000,-14.304999
-66.852000,-14.104999
-67.052000,-13.904999
-66.852000,-13.704999
-66.652000,-13.504999
-66.452000,-13.304999
-66.252000,-13.104999
-66.052000,-12.904999
-65.852000,-12.704999
-65.652000,-12.504999
-65.452000,-12.304999
-65.252000,-12.104999
-65.052000,-11.904999
-64.852000,-11.704999
-64.652000,-11.504999
-64.452000,-11.304999
-64.252000,-11.104999
-64.052000,-10.904999
-63.852000,-10.704999
-63.652000,-10.504999
-63.452000,-10.304999
-63.452000,-10.104999
-63.452000,-9.904999
-63.452000,-9.704999
-63.452000,-9.504999
-63.452000,-9.304999
-63.452000,-9.104999
-63.452000,-8.904999
-63.452000,-8.704999
-63.452000,-8.504999
-63.452000,-8.304999
-63.452000,-8.104999
-63.452000,-7.904999
-63.452000,-7.704999
-63.452000,-7.504999
-63.452000,-7.304999
-63.452000,-7.104999
-63.452000,-6.904999
-63.452000,-6.704999
-63.452000,-6.504999
-63.452000,-6.304999
-63.452000,-6.104999
-63.452000,-5.904999
-63.452000,-5.704999
-63.452000,-5.504999
-63.452000,-5.304999
-63.452000,-5.104999
-63.252000,-4.904999
-63.252000,-4.704999
-63.252000,-4.504999
-63.252000,-4.304999
-63.252000,-4.104999
-63.252000,-3.904999
-63.252000,-3.704999
-63.252000,-3.504999
-63.252000,-3.304999
-63.252000,-3.104999
-63.252000,-2.904999
-63.252000,-2.704999
-63.252000,-2.504999
-63.252000,-2.304999
-63.252000,-2.104999
-63.052000,-1.904999
-62.852000,-1.704999
-62.852000,-1.504999
-62.852000,-1.304999
-62.852000,-1.104999
-62.652000,-0.904999
-62.452000,-0.704999
-62.452000,-0.504999
-62.452000,-0.304999
-62.452000,-0.104999
-62.452000,0.095001
-62.452000,0.295001
-62.452000,0.495001
-62.452000,0.695001
-62.452000,0.895001
-62.452000,1.095001
-62.452000,1.295001
-62.452000,1.495001
-62.452000,1.695001
-62.452000,1.895001
-62.452000,2.095001
-62.452000,2.295001
-62.452000,2.495001
-62.452000,2.695001
-62.452000,2.895001
-62.452000,3.095001
-62.452000,3.295001
-62.452000,3.495001
-62.452000,3.695001
-62.452000,3.895001
-62.452000,4.095001
-62.452000,4.295001
-62.252000,4.495001
-62.052000,4.695001
-61.852000,4.895001
-61.652000,4.895001
-61.452000,4.895001
-61.252000,4.895001
-61.052000,4.895001
-60.852000,4.895001
-60.652000,4.895001
-60.452000,4.895001
-60.252000,4.895001
-60.052000,4.895001
-59.852000,4.895001
-59.652000,4.895001
-59.452000,4.895001
-59.252000,4.895001
-59.052000,4.895001
-58.852000,4.895001
-58.652000,4.895001
-58.452000,4.895001
-58.252000,4.895001
-58.052000,4.895001
-57.852000,4.895001
-57.652000,4.895001
-57.452000,4.895001
-57.252000,4.895001
-57.052000,4.895001
